#{"t_start": 1677953427.991905, "env_id": null}
r,l,t
507.47,26,7.574723
16.11,27,7.587688
100.06,24,7.599657
-143.0,28,7.613619
436.91,23,7.625587
123.18,27,7.639548
-470.72,30,7.65451
574.54,25,7.666478
320.12,25,7.679443
418.04,25,7.691411
-109.76,23,7.704377
156.12,27,7.717341
45.06,26,7.730308
395.18,27,7.744268
112.73,26,7.757234
600.66,29,7.771196
775.46,28,7.785158
177.68,38,7.804108
565.36,31,7.833031
128.7,30,7.847992
410.48,23,7.858963
23.27,34,7.875917
332.75,27,7.88988
-55.7,23,7.900851
663.69,32,7.916808
491.73,24,9.167461
615.41,23,9.178432
-77.04,23,9.196385
100.97,29,9.221316
216.5,27,9.238273
248.08,23,9.252266
373.32,31,9.269189
141.14,31,9.286143
135.84,26,9.300106
646.78,31,9.321059
195.66,28,9.336043
177.03,31,9.351968
380.01,35,9.370918
13.04,37,9.388898
76.56,27,9.401878
-32.62,29,9.415797
431.24,26,9.428794
492.95,33,9.444752
83.39,32,9.460709
-364.45,34,9.477632
-96.07,32,9.49359
360.67,24,9.505558
63.42,24,9.517524
59.12,24,9.529494
94.13,27,9.544454
397.87,26,9.557418
-252.78,34,9.573375
362.21,27,9.587337
78.43,27,9.615263
-39.89,27,9.628228
377.04,24,9.640198
291.03,30,9.656153
-55.11,29,9.671114
95.63,28,9.685076
-179.43,26,9.698041
284.39,24,9.710009
-184.06,33,9.725967
54.85,24,9.737967
695.62,31,9.75293
80.29,26,9.765893
186.35,23,9.777829
214.97,24,9.789797
-122.67,31,9.804756
-31.27,26,9.817721
144.2,33,9.834676
338.7,32,9.850635
420.74,30,9.865625
360.95,28,9.879588
153.14,28,9.893551
275.69,26,9.906485
165.08,31,9.921476
316.14,26,9.93441
778.15,33,9.951365
24.5,31,9.966325
515.19,37,9.984277
734.02,31,10.000235
87.33,28,10.014197
689.22,31,10.029188
259.49,23,10.041156
-90.79,33,10.057113
867.81,42,10.078024
-55.68,27,10.09099
655.71,30,10.105953
-260.45,35,10.137899
834.54,41,10.157813
590.64,27,10.171774
-18.12,26,10.184739
394.24,29,10.198702
229.72,23,10.21067
-477.92,42,10.231648
328.32,29,11.455341
443.84,29,11.476284
-451.33,35,11.499223
201.34,27,11.516177
-25.74,30,11.536124
-90.87,30,11.556072
1151.06,39,11.582999
572.96,54,11.627879
499.14,33,11.647825
-165.4,29,11.662786
660.66,29,11.677746
73.58,24,11.689715
467.9,30,11.705671
423.1,44,11.727613
143.91,25,11.73958
40.57,28,11.753572
817.75,34,11.770524
681.62,29,11.784492
-149.75,34,11.800456
229.69,32,11.816375
37.43,27,11.829371
38.98,23,11.840342
80.52,31,11.855303
611.08,23,11.866273
60.81,31,11.881236
312.71,28,11.909158
555.16,25,11.922092
146.36,26,11.935058
53.81,26,11.948024
114.88,26,11.961986
342.82,28,11.975947
574.2,32,11.991905
344.68,31,12.007863
295.95,28,12.021825
381.91,23,12.033794
78.94,24,12.045761
250.4,36,12.063714
379.56,29,12.078672
238.37,25,12.090643
442.75,31,12.106598
335.32,30,12.121557
300.17,24,12.133526
235.86,31,12.148485
125.5,28,12.162448
610.06,34,12.179404
809.77,30,12.194365
325.55,23,12.206332
-88.49,25,12.218301
144.3,26,12.231266
160.31,27,12.244262
-24.89,32,12.260219
291.14,24,12.275179
439.74,30,12.292135
-219.37,27,12.305099
271.38,31,12.320062
264.32,25,12.331996
453.36,23,12.342966
261.49,29,12.356929
141.78,35,12.373917
66.03,24,12.385852
258.26,28,12.414806
355.45,31,12.429765
289.99,23,12.441703
61.21,33,12.458656
259.09,25,12.470626
113.26,32,12.488608
291.64,28,12.502571
719.13,31,12.517531
411.25,27,12.531463
-62.62,28,12.546421
-455.86,29,13.748206
211.19,24,13.764164
246.9,26,13.779124
423.72,26,13.793086
-96.44,24,13.808046
1120.35,38,13.83996
288.98,33,13.867887
44.83,36,13.889827
