#{"t_start": 1677953427.991905, "env_id": null}
r,l,t
91.64,29,80.636897
2493.62,96,80.685765
3929.76,233,80.801457
482.94,31,80.817413
7.98,24,80.829381
-39.44,32,80.846336
-713.84,51,80.872266
729.38,46,80.895207
1520.68,167,80.989953
-77.43,26,81.002916
997.56,139,81.072762
2066.01,65,81.105675
-9.36,53,81.131573
-337.64,33,81.147559
-110.18,32,81.163516
4621.08,230,81.276187
-1838.28,199,82.749244
3197.28,186,82.865933
10906.45,182,82.969655
-45.88,25,82.981624
21808.43,1397,83.697707
164.32,30,83.713665
70.23,27,83.727637
1812.85,200,85.245566
1476.48,233,85.397194
439.3,51,85.423093
1980.08,685,85.774153
598.59,47,85.798088
251.49,25,85.811055
136.71,41,85.832996
299.83,166,85.926761
229.0,23,85.938729
-1709.08,264,86.075395
2321.41,71,86.11027
15652.18,267,86.243943
2572.19,81,87.667104
-534.83,128,87.75786
1537.73,286,87.919461
912.95,90,87.963343
-760.9,60,87.993264
-250.14,34,88.011185
5772.18,184,88.101973
367.04,57,88.129904
-190.16,32,88.145825
475.58,25,88.159786
489.43,133,88.226641
2337.09,172,88.324346
-388.49,202,88.432058
-518.52,98,88.480927
-148.8,275,88.619557
1614.4,121,88.680393
-10.0,30,88.695354
-951.7,159,90.167416
43.24,25,90.190354
-239.46,60,90.241218
141.35,33,90.287097
400.98,41,90.310034
-316.78,66,90.347934
14622.13,358,90.578316
-968.58,309,90.738885
5703.05,171,90.832635
12961.67,371,91.033099
1089.34,74,91.074989
5212.16,157,91.157785
-518.64,78,91.198694
-1361.13,182,91.290411
-455.77,75,92.827299
258.66,25,92.84924
16555.86,305,93.078628
2232.1,466,93.317024
-55.84,50,93.341955
-18.5,25,93.353929
1619.86,60,93.383842
74.14,24,93.39581
4007.25,160,93.486535
7323.39,717,93.850562
227.43,25,93.864524
-89.03,29,93.879516
-314.31,113,93.938359
-1465.3,205,95.425349
219.48,30,95.441306
155.41,23,95.458261
2061.28,86,95.509125
-271.12,36,95.528074
2239.62,115,95.585921
13537.76,340,95.753498
2279.31,269,95.898116
4485.21,127,95.960948
195.04,26,95.973913
11066.41,212,96.076639
-653.43,102,96.12551
1987.57,85,96.166366
9822.53,233,96.281092
5852.88,144,96.351895
-123.38,87,97.663929
15389.69,308,97.826495
11180.15,238,97.944182
4950.38,97,97.994047
-405.51,25,98.007012
3635.76,152,98.087828
57.78,28,98.100794
28820.61,1137,98.683204
113.38,23,100.04855
435.58,29,100.072487
256.54,23,100.08645
94.86,23,100.104401
480.38,29,100.127339
2152.61,42,100.152272
289.92,28,100.169227
82.46,23,100.181195
245.08,30,100.199147
1156.34,69,100.249015
26.74,23,100.260982
-5.88,23,100.271953
37.74,26,100.284918
85.32,24,100.296887
10140.53,215,100.404631
-273.74,169,100.486412
217.6,27,100.500374
-418.01,45,100.522316
-64.48,24,100.534254
97.89,24,100.547248
296.12,130,100.627003
-124.1,24,100.640001
366.6,25,100.652936
87.38,33,100.66989
6149.58,187,100.764635
394.88,26,100.779595
160.38,26,100.792561
-62.62,23,100.80453
50.34,34,100.823479
310.0,28,100.839436
-22.4,46,100.862375
93.08,23,100.874344
-68.04,24,100.886309
-198.47,27,100.900273
129.7,23,100.912242
338.42,26,100.925207
-3241.3,394,101.130658
532.46,24,101.142624
87.54,25,102.37732
30.32,28,102.39228
11449.27,264,102.55285
370.96,43,102.581773
-169.14,24,102.593742
255.55,23,102.605709
-267.94,29,102.619673
1903.94,67,102.653584
-131.43,48,102.677517
76.62,35,102.694472
747.08,55,102.7214
5424.34,369,102.915881
1935.17,126,102.978712
226.45,28,102.992675
97.7,26,103.00664
2475.22,86,103.049522
-193.58,30,103.064482
144.8,24,103.076451
1085.5,399,103.276916
845.34,41,103.299854
485.83,32,103.31581
2311.27,160,103.402613
-34.5,24,103.414576
-408.62,80,103.454441
-1005.7,194,105.007284
-26.36,26,105.021247
3423.45,280,105.167856
1154.09,45,105.194816
6022.98,125,105.270608
117.85,48,105.300502
197.9,28,105.314502
58.27,26,105.327461
39.49,23,105.338432
476.46,23,105.350399
1015.37,33,105.366357
-215.01,178,105.466089
104.7,23,105.478027
263.94,23,105.489995
1804.24,97,105.539861
138.34,53,105.56679
35532.85,549,105.851028
22151.28,1046,107.724049
3231.39,143,107.804803
1830.92,269,107.950412
-198.96,61,107.98133
200.26,30,107.996288
325.24,36,108.015238
9444.05,252,108.140903
148.76,24,108.152869
-177.17,26,108.165836
-384.17,52,108.192765
-189.55,30,108.207724
14.6,27,108.220688
-318.56,27,108.233654
91.54,33,108.25061
26479.3,514,109.851326
-56.56,26,109.870275
5526.89,175,109.965023
12359.46,306,110.113658
-44.64,26,110.126626
177.06,23,110.148531
-170.56,27,110.162496
637.83,23,110.173466
2680.96,83,110.217348
262.26,28,110.231311
-597.65,77,110.269208
2616.26,98,110.318079
3313.01,62,110.349993
92.47,27,110.363956
-45.86,29,110.377917
77.36,26,110.390884
4487.56,132,110.456708
297.72,51,110.482638
271.52,26,110.495604
302.43,26,110.508568
-2063.0,272,110.644205
1622.36,69,110.688087
392.49,23,110.699058
229.92,23,110.711026
98.74,25,110.72499
613.63,80,110.764884
847.91,32,110.780841
2826.79,62,112.159151
-25.61,23,112.179098
22473.68,824,112.629892
201.63,40,112.649839
1982.96,51,112.674772
-232.92,28,112.688735
202.62,25,112.7017
1170.6,83,112.742591
-129.12,24,112.754559
16435.66,323,112.914165
232.54,24,112.926132
13.99,29,112.940095
242.07,27,112.954027
-92.86,28,112.967989
-2.6,27,112.981952
1260.2,52,113.007881
5561.94,98,113.065728
4481.6,168,113.149504
92.86,29,113.164492
-132.96,27,113.178427
1908.92,52,113.204357
384.17,41,114.383201
-69.06,51,114.419105
-624.39,49,114.445037
770.89,89,114.500887
13886.11,1333,115.170129
134.36,32,115.186054
458.38,33,115.202013
-63.08,28,115.214978
918.04,67,115.257862
3827.26,73,115.294765
-60.08,42,115.315707
1598.42,49,115.341639
1879.96,63,115.372557
-46.72,29,115.387516
1134.11,36,115.405469
3880.1,103,116.666094
-204.33,35,116.683049
12405.62,221,116.824671
-358.3,53,116.854591
204.46,34,116.872543
2682.86,132,116.948342
322.68,27,116.962305
16.7,31,116.979258
408.94,35,116.997211
377.86,40,117.028126
281.93,27,117.042091
3629.72,97,117.091989
787.08,139,117.167754
192.56,30,117.182714
230.49,25,117.195681
-179.5,60,117.228593
-898.08,215,117.344282
-423.98,40,117.365225
-110.08,24,117.377193
-1619.2,245,117.496905
-1.36,24,117.507874
407.16,36,117.525828
-712.99,100,117.600595
-190.47,51,117.626527
169.22,23,117.638495
